record_key,pmid,doi,year,title,content_sha256
doi:10.1002/1878-0261.70302,42438125,10.1002/1878-0261.70302,2026,Translating whole-genome doubling into precision medicine in cancer.,4b482801fda1ab36090201f78d45a1cf8882f4e9e5832ce8e70670b281768304
doi:10.1002/advs.202409769,39903759,10.1002/advs.202409769,2025,Chromosome Missegregation Triggers Tumor Cell Pyroptosis and Enhances Anti-Tumor Immunotherapy in Colorectal Cancer.,fd7e6753101c3a205224abf8ad8201bf5d600b6eef1439efe51f3dc599319351
doi:10.1002/advs.202501015,42302064,10.1002/advs.202501015,2026,Chromosomal Instability Drives Glioblastoma Heterogeneity and Therapeutic Opportunities.,a67c34f8967ec52aecbd81780e73405e67bfef66dbde04e4df753c5a144ff95f
doi:10.1002/advs.202514238,42037178,10.1002/advs.202514238,2026,Unraveling the Molecular Mechanisms Underlying Spontaneous Multipolar Mitosis Through CIN-seq.,6b4026a489e964cc8abeaf5d4fdebca14d6319db074dc65c13b94715fd713018
doi:10.1002/advs.202521088,42468515,10.1002/advs.202521088,2026,Single-Cell Dissection of Therapy-Induced Remodeling Uncovers a Fibroblast-Driven Immunosuppressive Niche and Targetable Vulnerabilities in Lethal Prostate Cancer.,2f5ff650b515386e0479840a2e4ac541b2742349a336c188fa89ad3c4fb2773f
doi:10.1002/ajmg.a.31069,16411201,10.1002/ajmg.a.31069,2006,Monoallelic BUB1B mutations and defective mitotic-spindle checkpoint in seven families with premature chromatid separation (PCS) syndrome.,ea5ef6a8659ff865058f33f44361b956eff141a6e17b2e749bad279dd53717e5
doi:10.1002/ajmg.a.32315,18548531,10.1002/ajmg.a.32315,2008,Clinical and genetic heterogeneity in patients with mosaic variegated aneuploidy: delineation of clinical subtypes.,22cf2274524be9bd9533547940c2549dfa96ca59764f343fa7afe31da891aa91
doi:10.1002/bies.70128,41879524,10.1002/bies.70128,2026,Morphogen Gradients as Drivers of Mosaicism During Early Human Development.,aa624f51562c35dc954206b027c6c70177c2d50e4e8f6ba0dbb4c9ac206a955d
doi:10.1002/biof.70135,42457640,10.1002/biof.70135,2026,A Multi-Omics and Single-Cell Framework Identifies ITGA1 as a Candidate Predictive Biomarker of Neoadjuvant Chemotherapy Response in Epithelial Ovarian Cancer.,878cbbf8dd3a54360c9814d6e73addc71f7e709a5e1582e0274987627107c0ca
doi:10.1002/cbin.11740,34882895,10.1002/cbin.11740,2022,Research progress of Bub3 gene in malignant tumors.,6e42f63dc9d9f0074d60bc0ae042e1a8628e0b422f179b6ae7c8add6b65bc049
doi:10.1002/cbin.70186,42434936,10.1002/cbin.70186,2026,The Landscape of BRCA1-Associated Post-Translational Modifications.,50723df5d1f2b49ef4625ccb4aaaf860f4cb320428141614d83214e6e758be16
doi:10.1002/ccr3.2802,32884756,10.1002/ccr3.2802,2020,Prenatal diagnosis and long-term follow-up of a Chinese patient with mosaic variegated aneuploidy and its molecular analysis.,76ce555de9dec934079681261b90f244f0eeb4ebc0fd270ce6aca1f2b6074cf0
doi:10.1002/hsr2.72917,42524535,10.1002/hsr2.72917,2026,The Role of Precision Medicine in Neuroblastoma: Targeted Therapies and Personalized Approaches-A Narrative Review.,7b02210df7b4e3ebaf76982f196a65613c7701a3f1bf6e8ed57bc56d99278784
doi:10.1002/mc.70132,42189826,10.1002/mc.70132,2026,TTK Overexpression as a Prognostic Indicator and Immune Modulator in Kidney Renal Clear Cell Carcinoma.,b7726b8876bc769da355f96cf64900568913ecdab00860773ab708453e65584b
doi:10.1002/mco2.70812,42404587,10.1002/mco2.70812,2026,Cancer Heterogeneity and Cancer Cell Plasticity: Molecular Mechanisms and Precision Therapy.,3450549e6ab4273a558eddc1a10bf2333c8dced2a5a3e66af4ee8b69f9c9e9ee
doi:10.1002/mco2.70844,42415852,10.1002/mco2.70844,2026,"The Multifaceted Role of Pyroptosis: Molecular Mechanisms, Crosstalk with Other Cell Death Pathways, and Therapeutic Implications.",fa6bd25c980c65466cf8f5446d4880057d4b81239d170bed9cf35ae10ff76fb1
doi:10.1002/pbc.27804,31081598,10.1002/pbc.27804,2020,Long-term remission of bilateral Wilms tumors that developed from premature separation of chromatids/mosaic variegated aneuploidy syndrome due to bilateral nephrectomy and peritoneal dialysis.,d3de9a05e5bb0b859bf7d17c936a5606d0dabbbf72dc575ac51f0494f442d393
doi:10.1002/pros.24257,34672379,10.1002/pros.24257,2022,Androgen receptor negatively regulates mitotic checkpoint signaling to induce docetaxel resistance in castration-resistant prostate cancer.,c457ad5a8f39d6f50e5d25d368cd673f3fc391647f87f23d2c9f3642b1077aea
doi:10.1002/rmb2.70045,41937970,10.1002/rmb2.70045,2026,"Multinucleation in the Human Embryo's First Mitosis: Linking Spindle Geometry Defects, SAC Tolerance, Chromosome Segregation, and Nuclear Envelope Reassembly.",cbaf572da807a57280daada4939c16f033bccbdaca98c81e5d5fef97b96f9cbe
doi:10.1002/rmv.70187,42489251,10.1002/rmv.70187,2026,"John Cunningham Virus and Colorectal Carcinogenesis: Current Evidence, Molecular Mechanisms, and Unresolved Controversies.",ab27656329b5a2deea699da999766b0ec017b64a764eb335b794ec09617b61d4
doi:10.1007/s00018-023-05019-9,38008853,10.1007/s00018-023-05019-9,2023,"E3-ubiquitin ligase, FBXW7 regulates mitotic progression by targeting BubR1 for ubiquitin-mediated degradation.",03dcb169d7a20b6b229ba72ea01b3cb95bf3eeebafa2d4344f763f323409dbd8
doi:10.1007/s00018-025-06011-1,41586900,10.1007/s00018-025-06011-1,2026,The role of HMGA1 in genome stability: Implications in human cancer.,d23f511b5cef169f087a18f5079e693c0694dd2538579ced882c4e49ebd44177
doi:10.1007/s00018-026-06084-6,41865130,10.1007/s00018-026-06084-6,2026,ERKed by too much signaling: from oncogenic driver to therapeutic vulnerability.,0b3855a9b451013fc56a4ac023f7311816e2d2637fc6ab451dad4c3012b37dce
doi:10.1007/s00439-008-0572-y,18932004,10.1007/s00439-008-0572-y,2009,Gradual reduction of BUBR1 protein levels results in premature sister-chromatid separation then in aneuploidy.,21f9ce0d114cb13e66d972a2b8058a2720a99edcae9d5c17d75a4b50557a2142
doi:10.1007/s10072-022-06247-w,35804254,10.1007/s10072-022-06247-w,2022,Pathogenic correlation between mosaic variegated aneuploidy 1 (MVA1) and a novel BUB1B variant: a reappraisal of a severe syndrome.,a21fad7bfe5f8cd6072ec73dfd835869fe167233984907a398a0e3642fcb8e73
doi:10.1007/s10495-026-02422-y,42690507,10.1007/s10495-026-02422-y,2026,Evasion of cell death despite mitochondrial outer membrane permeabilization: an oncogenic outcome of apoptosis.,2f6fc81ffada1819cb46345c349ebc67f6265627dcdfd3dc2abaf30297f52b05
doi:10.1007/s10555-026-10347-w,42257920,10.1007/s10555-026-10347-w,2026,"Prognostic, diagnostic and therapeutic value of the cancer tubulin code.",91b72b34fe23583a21cdda2ae929ae2524fe929276cbf7258bf7921ea3c444e9
doi:10.1007/s10577-014-9432-x,24981203,10.1007/s10577-014-9432-x,2015,Mosaic variegated aneuploidy in mouse BubR1 deficient embryos and pregnancy loss in human.,c1406fd4c7cfbe1927fe874ebaf544f3ed15c3c320a02c87a478d20d1c64a842
doi:10.1007/s11596-010-0553-y,21063845,10.1007/s11596-010-0553-y,2013,Effect of Mad2 on paclitaxel-induced cell death in ovarian cancer cells.,11fc24237afde96418d7e2e9e2afac4a8a635f3b83f043e64925667892c16ff0
doi:10.1007/s12035-012-8262-0,22528601,10.1007/s12035-012-8262-0,2013,Cell cycle activation and aneuploid neurons in Alzheimer's disease.,50a360bc6d21512cecebb6b1ee3a0b11fad4dd8ad4dfa14c820c5bc6671758ec
doi:10.1007/s12672-024-01712-8,39715832,10.1007/s12672-024-01712-8,2024,"Integrated analysis of cell cycle and p53 signaling pathways related genes in breast, colorectal, lung, and pancreatic cancers: implications for prognosis and drug sensitivity for therapeutic potential.",6a335a6ce95b5aa6e4ec63400e8ec9df538310868dee312badba7d393d2bc4c5
doi:10.1007/s12672-025-04105-7,41507586,10.1007/s12672-025-04105-7,2026,Bioinformatics analysis identifies AURKB as a prognostic biomarker across multiple human cancers.,711bf0d371f76e65e58ccec508016605e67a72755710f119543efd16f1c65be8
doi:10.1007/s12672-026-04486-3,41618008,10.1007/s12672-026-04486-3,2026,Exploring the mechanism and therapeutic potential of BUB1 in regulating esophageal cancer progression based on 5-FU target prediction.,fec5bbd7668fcdca557b8b41bf336d5b10aa9559005d1139b9b18373dc6f587b
doi:10.1016/bs.mcb.2025.10.013,41688150,10.1016/bs.mcb.2025.10.013,2026,Immunofluorescent microscopy to quantify and characterize chromosomal instability (CIN).,2366b801221407c89a659fb18905ea7510b22ffe2913cded2bf3f402dbef0436
